ZIP,MHI,Minority,popdensity,EVs.per.1k.People,Public transportation,area_status
07060,78602,0.8695076814920497,9674.534906981396,10.34,0.03683640303358613,Non-Gap
07062,98344,0.8752516397168647,8007.80031201248,12.47,0.06677504064024009,Gap
07063,93304,0.8875307341060766,7974.789915966387,10.12,0.073,NA
07064,133854,0.5811548405630567,2639.120545868082,20.68,0.09513395297977037,NA
07065,91461,0.6508352984157562,7724.217547460235,16.27,0.08333902122721998,Non-Gap
07066,133504,0.18320317500960182,3570.7428571428572,25.35,0.02782172995780591,Non-Gap
07067,122713,0.4160972722870824,4612.158808933003,34.59,0.03655890648730744,NA
07068,164458,0.27425015954052334,1732.448866777225,49.94,0.07087552114353782,Non-Gap
07069,171705,0.2655896119583271,1046.1222555678407,76.25,0.07682813946312866,Gap
07070,143153,0.35852651635439825,6793.959007551241,35.94,0.1721665684541347,Non-Gap
07071,111711,0.3598806926946534,4900.305410122164,22.79,0.09057798891528107,Gap
07072,115444,0.38930699278770775,1615.501519756839,26.34,0.07606519874177867,NA
07073,97993,0.45728691942208866,2779.0353004580975,24.34,0.09538674991328477,Non-Gap
07074,90260,0.4763275751759437,2854.7945205479455,28.79,0.02233902759526938,Gap
07075,136108,0.4879624192601292,9172.351885098742,47.86,0.1629536471433705,Non-Gap
07076,183655,0.3765245743267721,2761.867704280156,45,0.0789169555885752,Gap
07077,108948,0.49938423645320196,2106.355382619974,16.32,0.1217732884399551,Gap
07078,250001,0.4822418394580168,1828.4534534534534,120.3,0.2112152312955526,Gap
07079,195417,0.3751011381412158,6502.630655910207,52.16,0.2206061951815255,Non-Gap
07080,130205,0.4941215026012863,2969.3467947938207,32.44,0.02087885409079874,Gap
07081,155906,0.35152291654533807,3316.7857832721656,37.68,0.0522581934452438,Non-Gap
07082,205023,0.24200594094006644,942.6783067040027,58.01,0.06311018131101813,Gap
07083,121887,0.7071514526388172,6666.284666513866,22.3,0.08503282692124711,Non-Gap
07086,127763,0.5318300086730269,21782.11586901763,33.94,0.3471942972034363,Non-Gap
07087,64310,0.8065991604351292,50929.50191570882,8.91,0.3677501189154907,Non-Gap
07088,93240,0.9238193726301276,8953.703703703703,21.72,0.101593625498008,Non-Gap
07090,232629,0.22426151521969717,4617.245473434253,55.06,0.1179622891167714,Gap
07092,211538,0.2603206128528869,1764.8973460190284,53.34,0.08050465605286873,Gap
07093,73174,0.7812039273502933,53758.853288364255,14.74,0.3421004621746533,Non-Gap
07094,139821,0.6254936174120672,3754.8275862068967,46.38,0.1942793142069441,Non-Gap
07095,104926,0.5726055116592793,4504.340277777778,26.88,0.07753164556962025,Non-Gap
07102,38864,0.8334681987376598,10926.613616268789,13.11,0.2867924528301887,Non-Gap
07103,51534,0.9371463813584319,17329.46096654275,5.01,0.2201763668430335,Non-Gap
07104,53978,0.8360310718248957,20650.335835638085,6.33,0.1813989589991782,Non-Gap
07105,59847,0.6943232970766994,12307.178271179133,7.65,0.1122403395130668,Gap
07106,53440,0.9692438776351593,25676.07621736062,4.48,0.2177254098360656,NA
07107,51242,0.9090153142540365,26254.093389933292,4,0.2051465726250827,NA
07108,36200,0.976276484890587,20877.447425670776,4.83,0.2238615127372873,NA
07109,90438,0.6656223673125525,11503.331314354937,15.09,0.08173577828714315,Gap
07110,119646,0.3694129419613076,8885.595732068761,26.08,0.09067256406920775,Gap
07111,61609,0.9738281827591305,20887.783115991762,4.09,0.1614104022334815,Non-Gap
07112,58200,0.9744024986420423,21674.7608535688,6.14,0.2345493392419087,Gap
07114,36019,0.8519385515727871,1731.6949581960982,40.6,0.2126909518213866,Non-Gap
07201,60080,0.7727895457898619,4422.401739940966,8.47,0.09572045543776993,Non-Gap
07202,71250,0.8309686888454012,19441.418071768265,7.23,0.1147095407011563,NA
07203,92762,0.8597103241190497,8594.307400379508,13.16,0.1009657594381036,Gap
07204,109679,0.567090044703044,11504.489795918367,20.79,0.05900221988550064,Non-Gap
07205,99528,0.8212000536936777,8079.8987707881415,14.54,0.127792749717465,Non-Gap
07206,68420,0.8825869088631381,17968.486212718064,8.21,0.1322926408172074,NA
07208,65511,0.6847543601465385,17821.986607142855,11.3,0.09644605505753703,Non-Gap
07302,175077,0.5776591960156527,39232.37962316818,29.58,0.4269446755407654,Non-Gap
07304,70986,0.8027521147624059,24966.423357664233,11.69,0.3689077326872602,Non-Gap
07305,76527,0.861822868308366,12659.824561403508,12.17,0.2476688153201076,Non-Gap
07306,74953,0.7344724808856471,18084.030800133914,15.94,0.3979521924482339,Non-Gap
07307,83297,0.668143979364521,22385.826771653545,17.31,0.2999213836477987,Non-Gap
07310,183464,0.7306899781454885,26211.12929623568,30.85,0.4568269568269568,Non-Gap
07311,202679,0.7397899649941657,31740.74074074074,38.51,0.5109439124487004,Non-Gap
07401,160162,0.2664238892935178,2220.9640892914913,56.23,0.1022805805114029,NA
07403,128010,0.2646714378659727,1259.8360655737706,21.08,0.007062834875791525,NA
07405,135169,0.20675082021909585,907.3158425832493,40.09,0.04667216154955697,Gap
07407,101740,0.47258546609377916,8101.399924328415,19.99,0.06891100158095415,NA
07410,144574,0.32948609941027807,6934.761441090555,38.44,0.0958864593549876,Gap
07416,93983,0.24149717996923603,481.0886367373787,11.79,0.008273381294964029,NA
07417,236023,0.28248740100791936,1179.4926228638149,74.96,0.06603392568659128,Gap
07418,156439,0.08831574833919498,554.9772283669487,16.41,0,NA
07419,100713,0.24956153925513258,568.2377769961308,20.84,0.007380809894274885,Gap
